i,db_id,question,gold_sql,pred_sql,latency_s,model,difficulty,EM,EX
72,pets_1,What is the average and maximum age for each pet type?,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(pet_age) AS AverageAge, MAX(pet_age) AS MaxAge FROM Pets GROUP BY PetType",2.5588269233703613,gemma-3-4b-it,unknown,False,False
73,pets_1,Find the average weight for each pet type.,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(weight) FROM Pets GROUP BY PetType",1.4669477939605713,gemma-3-4b-it,unknown,False,False
74,pets_1,What is the average weight for each type of pet?,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(weight) FROM Pets GROUP BY PetType",1.4205474853515625,gemma-3-4b-it,unknown,False,False
75,pets_1,Find the first name and age of students who have a pet.,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT T1.Fname, T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID",4.165714263916016,gemma-3-4b-it,unknown,False,False
76,pets_1,What are the different first names and ages of the students who do have pets?,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT DISTINCT T1.Fname, T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID",4.2479894161224365,gemma-3-4b-it,unknown,False,True
77,pets_1,Find the id of the pet owned by student whose last name is ‘Smith’.,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',"SELECT
  Pets.PetID
FROM Pets
INNER JOIN Has_Pet
  ON Pets.PetID = Has_Pet.PetID
INNER JOIN Student
  ON Has_Pet.StuID = Student.StuID
WHERE
  Student.LName = 'Smith';",4.779462814331055,gemma-3-4b-it,unknown,False,True
78,pets_1,What is the id of the pet owned by the student whose last name is 'Smith'?,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',"SELECT
  Pets.PetID
FROM Pets
INNER JOIN Has_Pet
  ON Pets.PetID = Has_Pet.PetID
INNER JOIN Student
  ON Has_Pet.StuID = Student.StuID
WHERE
  Student.LName = 'Smith';",4.779551029205322,gemma-3-4b-it,unknown,False,True
79,pets_1,Find the number of pets for each student who has any pet and student id.,"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",SELECT count(StuID) FROM Has_Pet GROUP BY StuID,1.4685754776000977,gemma-3-4b-it,unknown,False,False
80,pets_1,"For students who have pets , how many pets does each student have ? list their ids instead of names .","select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid","SELECT s.StuID, COUNT(h.PetID) AS num_pets FROM Student AS s JOIN Has_Pet AS h ON s.StuID = h.StuID GROUP BY s.StuID",3.5716426372528076,gemma-3-4b-it,unknown,False,False
81,pets_1,Find the first name and gender of student who have more than one pet.,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1","SELECT T1.Fname, T1.Sex FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID GROUP BY T1.StuID HAVING COUNT(T2.PetID) > 1",4.412237644195557,gemma-3-4b-it,unknown,False,True
82,pets_1,What is the first name and gender of the all the students who have more than one pet?,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1","SELECT DISTINCT T1.Fname, T1.Sex FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID = T2.StuID JOIN Pets AS T3 ON T2.PetID = T3.PetID GROUP BY T1.StuID HAVING COUNT(T2.PetID) > 1",5.660043239593506,gemma-3-4b-it,unknown,False,True
83,pets_1,Find the last name of the student who has a cat that is age 3.,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',"SELECT
  T1.LName
FROM Student AS T1
INNER JOIN Has_Pet AS T2
  ON T1.StuID = T2.StuID
INNER JOIN Pets AS T3
  ON T2.PetID = T3.PetID
WHERE
  T3.PetType = 'cat' AND T3.pet_age = 3;",6.392487049102783,gemma-3-4b-it,unknown,False,True
84,pets_1,What is the last name of the student who has a cat that is 3 years old?,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',"SELECT
  T1.LName
FROM Student AS T1
INNER JOIN Has_Pet AS T2
  ON T1.StuID = T2.StuID
INNER JOIN Pets AS T3
  ON T2.PetID = T3.PetID
WHERE
  T3.PetType = 'cat' AND T3.pet_age = 3;",6.387679576873779,gemma-3-4b-it,unknown,False,True
85,pets_1,Find the average age of students who do not have any pet .,select avg(age) from student where stuid not in (select stuid from has_pet),SELECT avg(Age) FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet);,2.074187994003296,gemma-3-4b-it,unknown,False,True
86,pets_1,What is the average age for all students who do not own any pets ?,select avg(age) from student where stuid not in (select stuid from has_pet),SELECT avg(Age) FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Pet);,1.9837803840637207,gemma-3-4b-it,unknown,False,True
87,car_1,How many continents are there?,SELECT count(*) FROM CONTINENTS;,SELECT count(distinct continents.ContId) FROM continents,1.261329174041748,gemma-3-4b-it,unknown,False,True
88,car_1,What is the number of continents?,SELECT count(*) FROM CONTINENTS;,SELECT count(distinct continents.ContId) FROM continents,1.236243486404419,gemma-3-4b-it,unknown,False,True
89,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;","SELECT continents.ContId, continents.Continent, COUNT(countries.CountryId) AS NumberOfCountries FROM continents JOIN countries ON continents.ContId = countries.Continent GROUP BY continents.ContId, continents.Continent",3.6402485370635986,gemma-3-4b-it,unknown,False,True
90,car_1,"For each continent, list its id, name, and how many countries it has?","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;","SELECT continents.ContId, continents.Continent, COUNT(countries.CountryId) AS num_countries FROM continents JOIN countries ON continents.ContId = countries.Continent GROUP BY continents.ContId, continents.Continent;",3.6920547485351562,gemma-3-4b-it,unknown,False,True
91,car_1,How many countries are listed?,SELECT count(*) FROM COUNTRIES;,SELECT COUNT(*) FROM countries,0.834031343460083,gemma-3-4b-it,unknown,False,True
92,car_1,How many countries exist?,SELECT count(*) FROM COUNTRIES;,SELECT count(CountryId) FROM countries,1.0174355506896973,gemma-3-4b-it,unknown,False,True
93,car_1,"How many models does each car maker produce? List maker full name, id and the number.","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT
  car_makers.FullName,
  car_makers.Id,
  COUNT(model_list.Model)
FROM car_makers
JOIN model_list
  ON car_makers.Id = model_list.Maker
GROUP BY
  car_makers.Id,
  car_makers.FullName;",5.550524473190308,gemma-3-4b-it,unknown,False,True
94,car_1,"What is the full name of each car maker, along with its id and how many models it produces?","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT
  car_makers.FullName,
  car_makers.Id,
  COUNT(model_list.Model)
FROM car_makers
JOIN model_list
  ON car_makers.Id = model_list.Maker
GROUP BY
  car_makers.Id,
  car_makers.FullName;",5.5939414501190186,gemma-3-4b-it,unknown,False,True
95,car_1,Which model of the car has the minimum horsepower?,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,SELECT Model FROM model_list INNER JOIN car_names ON model_list.Model = car_names.Model ORDER BY Horsepower ASC LIMIT 1,2.7978744506835938,gemma-3-4b-it,unknown,False,False
96,car_1,What is the model of the car with the smallest amount of horsepower?,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,SELECT T1.Model FROM model_list AS T1 JOIN cars_data AS T2 ON T1.ModelId = T2.MakeId ORDER BY T2.Horsepower ASC LIMIT 1,3.6784067153930664,gemma-3-4b-it,unknown,False,False
97,car_1,Find the model of the car whose weight is below the average weight.,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),"SELECT
  T1.Model
FROM model_list AS T1
INNER JOIN cars_data AS T2
  ON T1.ModelId = T2.Id
WHERE
  T2.Weight < (
    SELECT
      AVG(Weight)
    FROM cars_data
  );",5.583878993988037,gemma-3-4b-it,unknown,False,False
98,car_1,What is the model for the car with a weight smaller than the average?,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),"SELECT
  Model
FROM model_list
JOIN car_names
  ON model_list.Model = car_names.Model
JOIN cars_data
  ON car_names.MakeId = cars_data.Id
WHERE
  cars_data.Weight < (
    SELECT
      AVG(Weight)
    FROM cars_data
  );",11.414667844772339,gemma-3-4b-it,unknown,False,False
99,car_1,Find the name of the makers that produced some cars in the year of 1970?,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,"SELECT DISTINCT
  T1.FullName
FROM car_makers AS T1
JOIN model_list AS T2
  ON T1.Id = T2.Maker
JOIN car_names AS T3
  ON T2.Model = T3.Model
JOIN cars_data AS T4
  ON T3.MakeId = T4.Id
WHERE
  T4.Year = 1970",7.333599328994751,gemma-3-4b-it,unknown,False,False
