i,db_id,question,gold_sql,pred_sql,latency_s,model,difficulty,EM,EX
66,pets_1,What is the first name of every student who has a dog but does not have a cat?,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')","SELECT S.Fname
FROM Student S
JOIN Has_Pet HP ON S.StuID = HP.StuID
JOIN Pets P ON HP.PetID = P.PetID
WHERE P.PetType = 'dog'
AND NOT EXISTS (
 SELECT 1
 FROM Has_Pet HC, Pets C
 WHERE HC.StuID = S.StuID
 AND P.PetType = 'cat'
)",11.599466562271118,Mistral-7B-Instruct-v0.2,unknown,False,False
67,pets_1,Find the type and weight of the youngest pet.,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1","SELECT Pets.PetType, Pets.weight
FROM Student AS s
JOIN Has_Pet AS hp ON s.StuID = hp.StuID
JOIN Pets AS p ON hp.PetID = p.PetID
ORDER BY p.pet_age ASC
LIMIT 1;",8.323190689086914,Mistral-7B-Instruct-v0.2,unknown,False,False
68,pets_1,"What type of pet is the youngest animal, and how much does it weigh?","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1","SELECT Pets.PetType, Pets.weight
FROM Student AS s
JOIN Has_Pet AS hp ON s.StuID = hp.StuID
JOIN Pets AS p ON hp.PetID = p.PetID
ORDER BY p.pet_age ASC
LIMIT 1;",8.015887975692749,Mistral-7B-Instruct-v0.2,unknown,False,False
69,pets_1,Find the id and weight of all pets whose age is older than 1.,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1","SELECT Pets.PetID, Pets.weight
FROM Pets
JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID
JOIN Student ON Has_Pet.StuID = Student.StuID
WHERE Student.Age > 1;",7.2034080028533936,Mistral-7B-Instruct-v0.2,unknown,False,False
70,pets_1,What is the id and weight of every pet who is older than 1?,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1","SELECT Pets.PetID, Pets.weight
FROM Has_Pet
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE (Select count(*) from Student s WHERE Has_Pet.StuID = s.StuID) > 0 AND Pets.pet_age > 1;",8.404309749603271,Mistral-7B-Instruct-v0.2,unknown,False,True
71,pets_1,Find the average and maximum age for each type of pet.,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(Pets.pet_age), MAX(Pets.pet_age)
FROM Student INNER JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
INNER JOIN Pets ON Has_Pet.PetID = Pets.PetID
GROUP BY PetType;",8.404357433319092,Mistral-7B-Instruct-v0.2,unknown,False,False
72,pets_1,What is the average and maximum age for each pet type?,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(Pets.pet_age), MAX(Pets.pet_age)
FROM Student INNER JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
INNER JOIN Pets ON Has_Pet.PetID = Pets.PetID
GROUP BY PetType;",8.210897207260132,Mistral-7B-Instruct-v0.2,unknown,False,False
73,pets_1,Find the average weight for each pet type.,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(weight) as avg_weight
FROM Pets
GROUP BY PetType;",2.969578266143799,Mistral-7B-Instruct-v0.2,unknown,False,False
74,pets_1,What is the average weight for each type of pet?,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype","SELECT PetType, AVG(weight) as avg_weight
FROM Pets
GROUP BY PetType;",2.950939655303955,Mistral-7B-Instruct-v0.2,unknown,False,False
75,pets_1,Find the first name and age of students who have a pet.,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT Student.Fname, Student.Age
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID;",4.01205849647522,Mistral-7B-Instruct-v0.2,unknown,False,False
76,pets_1,What are the different first names and ages of the students who do have pets?,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid","SELECT Student.Fname, Student.Age
 FROM Student
 INNER JOIN Has_Pet ON Student.StuID = Has_Pet.StuID;

-- This query retrieves the first names and ages of students who have pets.",6.186007499694824,Mistral-7B-Instruct-v0.2,unknown,False,False
77,pets_1,Find the id of the pet owned by student whose last name is ‘Smith’.,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',"SELECT Has_Pet.PetID
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
WHERE Student.LName = 'Smith';",4.8871235847473145,Mistral-7B-Instruct-v0.2,unknown,False,True
78,pets_1,What is the id of the pet owned by the student whose last name is 'Smith'?,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',"SELECT Pets.PetID
FROM Student AS s
JOIN Has_Pet AS hp ON s.StuID = hp.StuID
JOIN Pets AS p ON hp.PetID = p.PetID
WHERE s.LName = 'Smith';",7.175729274749756,Mistral-7B-Instruct-v0.2,unknown,False,False
79,pets_1,Find the number of pets for each student who has any pet and student id.,"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid","SELECT COUNT(*) as num_pets FROM Has_Pet
JOIN Student ON Has_Pet.StuID = Student.StuID;",3.9323081970214844,Mistral-7B-Instruct-v0.2,unknown,False,False
80,pets_1,"For students who have pets , how many pets does each student have ? list their ids instead of names .","select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid","SELECT s.StuID, COUNT(hp.PetID) as NumPets
FROM Student s
JOIN Has_Pet hp ON s.StuID = hp.StuID
GROUP BY s.StuID",3.522820234298706,Mistral-7B-Instruct-v0.2,unknown,False,False
81,pets_1,Find the first name and gender of student who have more than one pet.,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1","SELECT Student.Fname, Student.Sex
FROM Student
INNER JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
GROUP BY Student.StuID, Student.Fname, Student.Sex
HAVING COUNT(Has_Pet.PetID) > 1;",3.4916436672210693,Mistral-7B-Instruct-v0.2,unknown,False,True
82,pets_1,What is the first name and gender of the all the students who have more than one pet?,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1","SELECT Student.Fname, Student.Sex
 FROM Student
 INNER JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
 GROUP BY Student.StuID, Student.Fname, Student.Sex
 HAVING COUNT(Has_Pet.PetID) > 1;",6.2334113121032715,Mistral-7B-Instruct-v0.2,unknown,False,True
83,pets_1,Find the last name of the student who has a cat that is age 3.,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',"SELECT Student.LName
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE Pets.PetType = 'cat' AND Pets.pet_age = 3
ORDER BY Student.StuID DESC
LIMIT 1;",9.428833484649658,Mistral-7B-Instruct-v0.2,unknown,False,True
84,pets_1,What is the last name of the student who has a cat that is 3 years old?,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',"SELECT Student.LName
FROM Student
JOIN Has_Pet ON Student.StuID = Has_Pet.StuID
JOIN Pets ON Has_Pet.PetID = Pets.PetID
WHERE PetType = 'cat' AND pet_age = 3;",7.170795202255249,Mistral-7B-Instruct-v0.2,unknown,False,True
85,pets_1,Find the average age of students who do not have any pet .,select avg(age) from student where stuid not in (select stuid from has_pet),"SELECT AVG(Student.Age) FROM Student
WHERE StuID NOT EXISTS (SELECT 1 FROM Has_Pet WHERE Student.StuID = Has_Pet.StuID)",5.045710563659668,Mistral-7B-Instruct-v0.2,unknown,False,False
86,pets_1,What is the average age for all students who do not own any pets ?,select avg(age) from student where stuid not in (select stuid from has_pet),"SELECT AVG(Student.Age)
FROM Student
WHERE Student.StuID NOT IN (
  SELECT Has_Pet.StuID
  FROM Has_Pet
);",4.826000690460205,Mistral-7B-Instruct-v0.2,unknown,False,True
87,car_1,How many continents are there?,SELECT count(*) FROM CONTINENTS;,SELECT COUNT(*) FROM continents;,1.329841136932373,Mistral-7B-Instruct-v0.2,unknown,True,True
88,car_1,What is the number of continents?,SELECT count(*) FROM CONTINENTS;,SELECT COUNT(*) FROM continents;,1.259763479232788,Mistral-7B-Instruct-v0.2,unknown,True,True
89,car_1,"How many countries does each continent have? List the continent id, continent name and the number of countries.","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;","SELECT continents.ContId, continents.Continent, COUNT(*) as NumCountries
FROM continents
JOIN countries ON continents.Continent = countries.Country
GROUP BY continents.Contid;",5.554993629455566,Mistral-7B-Instruct-v0.2,unknown,False,False
90,car_1,"For each continent, list its id, name, and how many countries it has?","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;","SELECT continents.ContId, continents.Continent, COUNT(*) as NumCountries
FROM continents
JOIN countries ON continents.Continent = countries.Country
GROUP BY continents.Contid;",4.913280487060547,Mistral-7B-Instruct-v0.2,unknown,False,False
91,car_1,How many countries are listed?,SELECT count(*) FROM COUNTRIES;,SELECT COUNT(*) FROM countries;,0.5570158958435059,Mistral-7B-Instruct-v0.2,unknown,True,True
92,car_1,How many countries exist?,SELECT count(*) FROM COUNTRIES;,SELECT COUNT(*) FROM countries;,0.5646872520446777,Mistral-7B-Instruct-v0.2,unknown,True,True
93,car_1,"How many models does each car maker produce? List maker full name, id and the number.","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT car_makers.FullName AS maker_full_name, car_makers.Id AS maker_id, COUNT(DISTINCT model_list.Model) AS num_models
FROM car_makers
JOIN car_makers ON car_makers.Id = model_list.Maker
GROUP BY car_makers.Id;",3.702589988708496,Mistral-7B-Instruct-v0.2,unknown,False,False
94,car_1,"What is the full name of each car maker, along with its id and how many models it produces?","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;","SELECT car_makers.Id, car_makers.FullName, (SELECT COUNT(*) FROM model_list WHERE model_list.Maker = car_makers.Id) as NumModels
FROM car_makers;",2.414907932281494,Mistral-7B-Instruct-v0.2,unknown,False,False
95,car_1,Which model of the car has the minimum horsepower?,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,"SELECT cars_data.Model
FROM cars_data
ORDER BY horsespower ASC
LIMIT 1;",1.2527997493743896,Mistral-7B-Instruct-v0.2,unknown,False,False
96,car_1,What is the model of the car with the smallest amount of horsepower?,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;,"SELECT model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
ORDER BY horsepower ASC
LIMIT 1;",1.9669520854949951,Mistral-7B-Instruct-v0.2,unknown,False,True
97,car_1,Find the model of the car whose weight is below the average weight.,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),"SELECT model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE weight < (
  SELECT AVG(weight)
  FROM cars_data
)",2.5125677585601807,Mistral-7B-Instruct-v0.2,unknown,False,True
98,car_1,What is the model for the car with a weight smaller than the average?,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA),"SELECT model
FROM car_names
JOIN cars_data ON car_names.MakeId = cars_data.Id
WHERE Weight < (
  SELECT AVG(Weight)
  FROM cars_data
)",2.575165033340454,Mistral-7B-Instruct-v0.2,unknown,False,True
99,car_1,Find the name of the makers that produced some cars in the year of 1970?,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,"SELECT car_makers.Maker
FROM car_makers
JOIN car_names ON car_makers.Id = car_names.Maker
JOIN cars_data ON car_names.Model = cars_data.Model
WHERE cars_data.Year = 1970;",3.262415885925293,Mistral-7B-Instruct-v0.2,unknown,False,False
